Date,Open,High,Low,Close,Forecast
1988-03-27,123.89,125.85,123.56,123.89,-1
1988-04-03,125.65,126.39,123.27,125.65,0
1988-04-10,123.92,126.97,122.99,123.92,-1
1988-04-17,124.75,124.87,123.56,124.75,0
1988-04-24,125.09,125.31,123.99,125.09,0
1988-05-01,124.73,125.36,124.4,124.73,-1
1988-05-08,124.73,124.92,124.05,124.73,-1
1988-05-15,124.79,126.93,124.54,124.79,0
1988-05-22,124.87,125.07,123.94,124.87,-1
1988-05-29,126.02,126.67,124.67,126.02,0
1988-06-05,124.79,126.41,124.48,124.79,0
1988-06-12,125.72,127.77,124.82,125.72,0
1988-06-19,130.43,130.88,125.72,130.43,0
1988-06-26,134.39,134.72,129.63,134.39,0
1988-07-03,133.07,135.51,131.28,133.07,0
1988-07-10,135.44,135.54,131.97,135.44,0
1988-07-17,130.88,135.54,130.43,130.88,0
1988-07-24,133.15,133.23,130.09,133.15,0
1988-07-31,133.82,133.87,132.09,133.82,0
1988-08-07,132.77,135.16,132.38,132.77,0
1988-08-14,133.53,134.25,130.97,133.53,0
1988-08-21,133.8,134.7,132.97,133.8,0
1988-08-28,135.83,137.34,133.62,135.83,0
1988-09-04,133.61,136.29,132.76,133.61,0
1988-09-11,133.19,135.68,132.77,133.19,-1
1988-09-18,134.16,134.84,131.44,134.16,0
1988-09-25,134.6,135.0,133.59,134.6,0
1988-10-02,134.4,136.91,133.91,134.4,0
1988-10-09,126.42,134.94,125.9,126.42,0
1988-10-16,126.08,127.91,125.84,126.08,-1
1988-10-23,125.49,127.12,125.29,125.49,-1
1988-10-30,124.89,125.84,123.89,124.89,-1
1988-11-06,122.74,125.98,122.28,122.74,-1
1988-11-13,122.5,123.95,120.95,122.5,-1
1988-11-20,121.23,122.54,120.45,121.23,-1
1988-11-27,121.21,122.5,120.91,121.21,-1
1988-12-04,122.52,124.13,121.05,122.52,0
1988-12-11,123.93,124.71,121.96,123.93,0
1988-12-18,124.63,125.51,123.7,124.63,0
1988-12-25,124.93,126.26,124.45,124.93,0
1989-01-01,126.74,127.04,122.96,126.74,0
1989-01-08,127.32,127.32,125.41,127.32,0
1989-01-15,127.63,129.72,125.98,127.63,0
1989-01-22,129.28,129.4,126.17,129.28,0
1989-01-29,129.17,130.6,128.68,129.17,0
1989-02-05,128.71,129.97,126.77,128.71,0
1989-02-12,125.75,128.73,124.93,125.75,0
1989-02-19,126.03,127.4,125.16,126.03,0
1989-02-26,127.67,128.68,125.61,127.67,0
1989-03-05,129.4,129.68,127.31,129.4,0
1989-03-12,131.68,131.81,129.28,131.68,0
1989-03-19,131.36,132.23,130.48,131.36,0
1989-03-26,132.71,133.47,131.32,132.71,0
1989-04-02,132.75,133.32,130.58,132.75,0
1989-04-09,131.97,133.18,131.81,131.97,0
1989-04-16,131.45,132.5,130.88,131.45,0
1989-04-23,133.01,133.03,130.77,133.01,0
1989-04-30,134.23,134.55,132.88,134.23,0
1989-05-07,136.11,136.19,133.98,136.11,0
1989-05-14,138.98,139.59,136.21,138.98,0
1989-05-21,141.08,143.71,139.25,141.08,0
1989-05-28,140.48,143.97,140.28,140.48,0
1989-06-04,146.63,146.63,140.12,146.63,0
1989-06-11,144.81,151.78,143.93,144.81,0
1989-06-18,138.69,145.79,137.63,138.69,0
1989-06-25,143.93,144.47,139.28,143.93,0
1989-07-02,139.03,144.95,137.79,139.03,0
1989-07-09,140.82,140.92,138.49,140.82,0
1989-07-16,142.18,142.84,140.62,142.18,0
1989-07-23,139.15,143.53,138.59,139.15,0
1989-07-30,139.84,139.92,135.43,139.84,0
1989-08-06,141.78,142.26,138.23,141.78,0
1989-08-13,142.54,144.03,141.22,142.54,0
1989-08-20,143.81,143.93,141.96,143.81,0
1989-08-27,145.89,146.01,142.08,145.89,0
1989-09-03,147.17,147.33,145.01,147.17,0
1989-09-10,146.43,148.96,143.97,146.43,0
1989-09-17,145.97,146.93,144.53,145.97,0
