Date,Open,High,Low,Close,Forecast
1992-09-20,1.297,1.3205,1.2835,1.297,0
1992-09-27,1.29,1.2913,1.217,1.2332,0
1992-10-04,1.2285,1.3265,1.2085,1.316,0
1992-10-11,1.305,1.3293,1.284,1.3228,1
1992-10-18,1.329,1.3745,1.3142,1.3657,1
1992-10-25,1.3645,1.3815,1.3535,1.376,1
1992-11-01,1.3755,1.437,1.372,1.434,1
1992-11-08,1.434,1.4445,1.4105,1.4182,0
1992-11-15,1.4204,1.459,1.4015,1.4465,0
1992-11-22,1.4492,1.4594,1.4217,1.44,0
1992-11-29,1.4395,1.4525,1.3903,1.4285,0
1992-12-06,1.428,1.4512,1.383,1.4067,0
1992-12-13,1.4055,1.4175,1.383,1.4075,0
1992-12-20,1.4085,1.4495,1.4045,1.4435,1
1992-12-27,1.446,1.4735,1.443,1.4665,1
1993-01-03,1.469,1.5085,1.467,1.5015,1
1993-01-10,1.4895,1.5045,1.4755,1.497,0
1993-01-17,1.4972,1.4988,1.4545,1.4585,0
1993-01-24,1.458,1.4915,1.439,1.4885,0
1993-01-31,1.4855,1.542,1.4845,1.532,1
1993-02-07,1.531,1.546,1.515,1.5377,1
1993-02-14,1.5385,1.55,1.491,1.508,0
1993-02-21,1.5105,1.53,1.481,1.5265,0
1993-02-28,1.531,1.5525,1.5085,1.545,1
1993-03-07,1.5475,1.5485,1.513,1.5193,0
1993-03-14,1.5225,1.5365,1.499,1.509,0
1993-03-21,1.5135,1.525,1.502,1.5133,0
1993-03-28,1.509,1.5121,1.469,1.479,0
1993-04-04,1.478,1.4935,1.474,1.4765,0
1993-04-11,1.476,1.4845,1.4427,1.4825,0
1993-04-18,1.479,1.4809,1.424,1.43,0
1993-04-25,1.4255,1.442,1.412,1.431,0
1993-05-02,1.4305,1.4448,1.4055,1.4305,0
1993-05-09,1.4315,1.4677,1.425,1.449,0
1993-05-16,1.4518,1.4821,1.4473,1.47,0
1993-05-23,1.4715,1.4795,1.4148,1.4181,0
1993-05-30,1.4187,1.4672,1.414,1.4642,0
1993-06-06,1.463,1.4777,1.445,1.453,0
1993-06-13,1.4525,1.506,1.441,1.5005,0
1993-06-20,1.5035,1.5212,1.4959,1.515,1
1993-06-27,1.5145,1.5255,1.491,1.511,0
1993-07-04,1.509,1.537,1.5038,1.533,0
1993-07-11,1.532,1.5407,1.504,1.5065,0
1993-07-18,1.507,1.5212,1.4928,1.5195,0
1993-07-25,1.5185,1.5315,1.5067,1.5245,1
1993-08-01,1.5265,1.5275,1.4915,1.503,0
1993-08-08,1.5025,1.538,1.4985,1.525,0
1993-08-15,1.5237,1.5253,1.464,1.4668,0
1993-08-22,1.468,1.4891,1.463,1.467,0
1993-08-29,1.466,1.4835,1.418,1.4235,-1
1993-09-05,1.424,1.4325,1.387,1.3924,-1
1993-09-12,1.392,1.4135,1.3805,1.405,0
1993-09-19,1.403,1.4425,1.3963,1.4295,0
1993-09-26,1.4249,1.4387,1.4042,1.4235,0
1993-10-03,1.4365,1.439,1.398,1.405,0
1993-10-10,1.403,1.4307,1.3945,1.4273,0
1993-10-17,1.4275,1.479,1.427,1.4775,0
1993-10-24,1.478,1.4955,1.467,1.4927,0
1993-10-31,1.4922,1.513,1.4878,1.496,1
1993-11-07,1.4928,1.509,1.481,1.489,0
1993-11-14,1.491,1.512,1.4845,1.505,0
1993-11-21,1.504,1.5084,1.4835,1.499,0
1993-11-28,1.4985,1.5076,1.482,1.49,0
1993-12-05,1.487,1.4872,1.449,1.4539,0
1993-12-12,1.454,1.4725,1.4495,1.4617,0
1993-12-19,1.461,1.4657,1.4315,1.438,0
1993-12-26,1.437,1.49,1.435,1.488,0
1994-01-02,1.487,1.4952,1.4625,1.466,0
1994-01-09,1.4655,1.4887,1.4545,1.478,0
1994-01-16,1.4807,1.4817,1.45,1.4676,0
1994-01-23,1.4655,1.4768,1.4495,1.47,0
1994-01-30,1.471,1.4745,1.4418,1.472,0
1994-02-06,1.4745,1.4875,1.465,1.48,0
1994-02-13,1.476,1.4801,1.44,1.444,0
1994-02-20,1.4425,1.4625,1.4213,1.429,-1
1994-02-27,1.428,1.4453,1.4215,1.4407,0
1994-03-06,1.44,1.4485,1.41,1.4205,0
1994-03-13,1.4235,1.4455,1.4198,1.441,0
1994-03-20,1.4415,1.4446,1.412,1.4169,0
1994-03-27,1.4163,1.4314,1.404,1.4268,0
1994-04-03,1.426,1.4525,1.42,1.4453,0
1994-04-10,1.4425,1.46,1.4355,1.454,0
1994-04-17,1.4532,1.4612,1.427,1.4325,0
1994-04-24,1.43,1.4405,1.394,1.4035,-1
1994-05-01,1.403,1.4257,1.3935,1.4123,0
1994-05-08,1.4128,1.4371,1.4093,1.4262,0
1994-05-15,1.4274,1.4313,1.402,1.407,0
1994-05-22,1.4045,1.417,1.3975,1.403,-1
1994-05-29,1.4026,1.4223,1.3955,1.4188,0
1994-06-05,1.419,1.4213,1.4025,1.4057,0
1994-06-12,1.4063,1.4095,1.352,1.355,-1
1994-06-19,1.3558,1.361,1.324,1.3275,-1
1994-06-26,1.3225,1.3478,1.316,1.3396,0
1994-07-03,1.34,1.345,1.3135,1.316,0
1994-07-10,1.3085,1.3155,1.28,1.3078,-1
1994-07-17,1.3025,1.359,1.297,1.354,0
1994-07-24,1.349,1.356,1.325,1.3395,0
1994-07-31,1.33,1.3445,1.324,1.3335,0
1994-08-07,1.3304,1.34,1.2975,1.3025,-1
1994-08-14,1.3035,1.3169,1.289,1.2954,-1
1994-08-21,1.2954,1.3345,1.285,1.3313,0
1994-08-28,1.3325,1.347,1.304,1.3052,0
1994-09-04,1.3052,1.3095,1.278,1.281,-1
1994-09-11,1.281,1.2944,1.269,1.2818,0
1994-09-18,1.281,1.2927,1.278,1.2865,0
